School_Unit_Name,Elementary_school_cases,Middle_school_cases,High_school_cases,Gender,Reporting_date
CENTRUL JUDETEAN DE ASISTENTA PSHIOPEDAGOGICA,292,395,109,F,2018-10-07
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA BACAU,246,309,423,F,2017-05-11
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA IASI,687,291,731,M,2021-01-23
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA MIERCUREA CIUC,480,692,369,F,2015-02-16
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA MUNICIPIUL BUZAU,610,236,105,F,2017-03-28
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA PRAHOVA,724,656,614,F,2015-08-10
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA SATU MARE,396,598,15,M,2014-02-01
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA SALAJ,228,444,116,M,2017-03-18
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA SUCEAVA,726,647,597,M,2017-08-03
CENTRUL JUDETEAN DE EXCELENTA MEHEDINTI,748,619,634,F,2017-06-23
CENTRUL JUDETEAN DE EXCELENTA ARAD,509,407,76,F,2012-06-27
CENTRUL JUDETEAN DE EXCELENTA ARGES,206,164,107,F,2012-02-26
CENTRUL JUDETEAN DE EXCELENTA BACAU,133,274,698,F,2015-03-13
CENTRUL JUDETEAN DE EXCELENTA BIHOR,92,484,16,F,2016-10-19
CENTRUL JUDETEAN DE EXCELENTA BISTRITA-NASAUD,564,47,540,M,2021-03-24
CENTRUL JUDETEAN DE EXCELENTA BOTOSANI,570,254,168,M,2021-01-06
Centrul Judetean de Excelenta Brasov,381,113,733,M,2012-11-21
CENTRUL JUDETEAN DE EXCELENTA BRAILA,594,729,6,F,2014-03-12
CENTRUL JUDETEAN DE EXCELENTA CARAS-SEVERIN,127,515,114,F,2016-01-03
CENTRUL JUDETEAN DE EXCELENTA CALARASI,594,706,62,M,2016-09-30
CENTRUL JUDETEAN DE EXCELENTA CLUJ,459,352,58,M,2019-07-18
CENTRUL JUDETEAN DE EXCELENTA CONSTANTA,287,204,552,M,2020-08-03
Centrul Judetean de Excelenta Covasna,236,455,82,M,2019-11-24
CENTRUL JUDETEAN DE EXCELENTA DAMBOVITA,41,561,282,F,2014-02-14
CENTRUL JUDETEAN DE EXCELENTA GIURGIU,269,436,57,M,2018-12-17
CENTRUL JUDETEAN DE EXCELENTA GORJ,405,519,65,F,2013-01-07
CENTRUL JUDETEAN DE EXCELENTA HARGHITA,144,151,565,M,2015-05-10
CENTRUL JUDETEAN DE EXCELENTA HUNEDOARA,629,745,624,F,2017-06-24
CENTRUL JUDETEAN DE EXCELENTA IALOMITA,133,513,197,M,2018-10-05
CENTRUL JUDETEAN DE EXCELENTA IASI,274,702,12,M,2015-06-10
CENTRUL JUDETEAN DE EXCELENTA ILFOV,561,564,42,F,2017-09-28
CENTRUL JUDETEAN DE EXCELENTA MARAMURES,21,505,423,M,2013-12-05
CENTRUL JUDETEAN DE EXCELENTA MUNICIPIUL BUZAU,66,298,622,M,2020-08-26
CENTRUL JUDETEAN DE EXCELENTA MURES,636,731,410,M,2016-02-19
CENTRUL JUDETEAN DE EXCELENTA NEAMT,319,3,120,F,2014-11-24
CENTRUL JUDETEAN DE EXCELENTA OLT,297,541,254,F,2014-12-02
CENTRUL JUDETEAN DE EXCELENTA PRAHOVA,387,444,603,F,2020-06-17
CENTRUL JUDETEAN DE EXCELENTA SATU MARE,374,22,269,F,2013-04-03
CENTRUL JUDETEAN DE EXCELENTA SALAJ,744,701,317,F,2019-05-27
CENTRUL JUDETEAN DE EXCELENTA SIBIU,656,184,394,M,2020-10-13
CENTRUL JUDETEAN DE EXCELENTA SUCEAVA,279,416,258,M,2014-10-15
CENTRUL JUDETEAN DE EXCELENTA TELEORMAN,189,510,114,M,2012-05-09
CENTRUL JUDETEAN DE EXCELENTA TIMIS,636,645,695,F,2012-01-29
CENTRUL JUDETEAN DE EXCELENTA TULCEA,429,114,326,F,2015-07-09
CENTRUL JUDETEAN DE EXCELENTA VASLUI,382,284,632,M,2014-12-17
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA TULCEA,598,665,143,M,2019-04-19
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA ARGES,637,519,303,F,2011-08-30
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA BACAU,345,578,606,M,2014-11-06
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA BISTRITA-NASAUD,140,290,324,M,2015-05-26
Centrul Judetean de Resurse si Asistenta Educationala Brasov,282,93,4,M,2018-04-30
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA CONSTANTA,602,599,663,M,2011-10-25
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA GIURGIU,557,281,402,F,2020-06-08
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA IASI,739,420,727,F,2012-08-13
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MUNICIPIUL BUZAU,218,548,416,F,2021-05-02
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA NEAMT,230,30,14,M,2012-03-01
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA PRAHOVA,437,686,378,F,2018-03-30
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA SATU MARE,488,29,32,M,2014-04-08
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA SIBIU,742,387,561,M,2019-05-05
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA SUCEAVA,727,253,473,F,2020-10-30
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA TELEORMAN,715,167,70,F,2021-03-25
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA TIMIS,411,18,18,M,2016-09-02
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA VASLUI,408,648,230,M,2019-04-23
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA ARAD,357,586,654,M,2021-04-24
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA BRAILA,59,717,422,F,2016-11-20
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA CARAS-SEVERIN,350,205,710,F,2020-02-10
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA CLUJ,204,408,712,F,2013-01-19
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA DAMBOVITA,195,582,644,F,2013-12-19
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA OLT,356,140,708,M,2020-07-08
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA SALAJ,159,641,17,F,2020-06-05
CENTRUL LOGOPEDIC,419,744,106,M,2018-08-17
CENTRUL LOGOPEDIC BACAU,266,233,176,M,2015-02-01
CENTRUL LOGOPEDIC GALATI,110,278,20,F,2015-11-20
CENTRUL LOGOPEDIC IASI,557,166,676,M,2013-06-13
CENTRUL LOGOPEDIC INTERSCOLAR SUCEAVA,626,34,500,F,2020-08-11
CENTRUL LOGOPEDIC INTERSCOLAR MUNICIPIUL BUZAU,238,267,411,F,2015-06-18
CENTRUL LOGOPEDIC INTERSCOLAR MUNICIPIUL RAMNICU SARAT,371,654,153,M,2017-03-14
CENTRUL LOGOPEDIC INTERSCOLAR RESITA,43,318,588,M,2015-08-23
CENTRUL LOGOPEDIC SATU MARE,9,671,97,F,2015-04-18
Centrul Municipiului Bucuresti de Excelenta,29,422,463,M,2013-10-30
Centrul Municipiului Bucuresti de resurse si asistenta educationala,36,33,607,F,2013-03-05
Centrul National de Politici si Evaluare in Educatie,633,542,377,M,2012-06-06
Centrul pilot de pedagogie curativa si terapie sociala Corabia,387,394,197,F,2012-12-16
COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU,518,412,403,F,2020-01-27
COLEGIUL AGRICOL DIMITRIE CANTEMIR MUN. HUSI,30,369,435,M,2011-08-05
COLEGIUL AGRICOL SI DE INDUSTRIE ALIMENTARA VASILE ADAMACHI IASI,746,249,392,M,2015-02-24
COLEGIUL AGRICOL TRAIAN SAVULESCU TIRGU MURES,350,128,436,F,2018-02-21
COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI,451,307,446,F,2017-07-23
COLEGIUL ANDRONIC MOTRESCU RADAUTI,292,727,110,M,2020-02-02
Colegiul 'Aurel Vijoli' Fagaras,548,295,77,M,2018-12-31
COLEGIUL AUTO TRAIAN VUIA TG-JIU,662,354,327,F,2019-03-20
COLEGIUL COMERCIAL 'CAROL I' CONSTANTA,601,616,273,F,2021-01-29
COLEGIUL DANUBIUS MUNICIPIUL GALATI,429,27,369,M,2014-08-15
COLEGIUL DE ARTA CARMEN SYLVA MUNICIPIUL PLOIESTI,679,697,607,F,2020-12-20
COLEGIUL DE ARTA CIPRIAN PORUMBESCU SUCEAVA,408,284,494,F,2017-04-22
COLEGIUL DE ARTE BAIA MARE,589,390,296,M,2019-08-14
COLEGIUL DE ARTE SABIN DRAGOI ARAD,304,268,529,F,2014-10-06
COLEGIUL DE INDUSTRIE ALIMENTARA ELENA DOAMNA LOCALITATEA GALATI,323,360,732,F,2015-11-05
COLEGIUL DE INVATAMANT TERTIAR NONUNIVERSITAR USAMVBT TIMISOARA,264,602,91,F,2017-07-19
COLEGIUL DE MUZICA SIGISMUND TODUTA CLUJ-NAPOCA,265,22,695,M,2020-06-29
COLEGIUL DE SERVICII IN TURISM NAPOCA CLUJ-NAPOCA,443,227,63,F,2018-07-07
Colegiul de Stiinte ale Naturii 'Emil Racovita' Brasov,207,349,203,F,2013-03-19
Colegiul de Stiinte 'Grigore Antipa' Brasov,368,535,405,F,2018-07-18
COLEGIUL DOBROGEAN SPIRU HARET TULCEA,436,487,425,F,2018-04-26
COLEGIUL ECOLOGIC PROF.UNIV.DR. ALEXANDRU IONESCU PITESTI,488,605,282,F,2016-07-20
COLEGIUL ECONOMIC ADMINISTRATIV IASI,396,351,649,F,2015-11-11
Colegiul Economic A.D.Xenopol,492,96,664,F,2020-03-01
COLEGIUL ECONOMIC AL BANATULUI MONTAN RESITA,605,640,215,F,2014-01-28
COLEGIUL ECONOMIC ANGHEL RUGINA MUN. VASLUI,14,26,137,F,2014-05-21
COLEGIUL ECONOMIC ARAD,641,178,682,F,2016-02-01
COLEGIUL ECONOMIC CALARASI,446,237,629,F,2021-02-17
Colegiul Economic Costin C. Kiritescu,460,526,424,M,2013-06-16
COLEGIUL ECONOMIC DELTA DUNARII TULCEA,139,469,13,M,2013-12-06
COLEGIUL ECONOMIC DIMITRIE CANTEMIR SUCEAVA,350,24,462,M,2020-09-22
COLEGIUL ECONOMIC DIONISIE POP MARTIAN ALBA IULIA,135,97,399,M,2018-01-11
COLEGIUL ECONOMIC EMANUIL GOJDU HUNEDOARA,189,637,493,M,2012-02-20
COLEGIUL ECONOMIC FRANCESCO SAVERIO NITTI TIMISOARA,209,528,349,M,2018-09-22
COLEGIUL ECONOMIC GEORGE BARITIU SIBIU,735,663,461,F,2017-12-23
COLEGIUL ECONOMIC GHEORGHE CHITU CRAIOVA,329,28,304,F,2019-06-02
COLEGIUL ECONOMIC GHEORGHE DRAGOS SATU MARE,724,513,397,M,2014-06-05
Colegiul Economic Hermes,359,19,67,M,2016-04-12
COLEGIUL ECONOMIC HERMES PETROSANI,161,658,354,F,2014-05-16
COLEGIUL ECONOMIC ION GHICA,577,265,307,F,2018-04-10
COLEGIUL ECONOMIC ION GHICA BACAU,123,398,287,M,2013-10-17
COLEGIUL ECONOMIC ION GHICA TARGOVISTE,624,17,165,M,2015-12-01
COLEGIUL ECONOMIC IULIAN POP CLUJ-NAPOCA,454,645,505,F,2016-08-10
COLEGIUL ECONOMIC MANGALIA,109,539,210,F,2015-06-22
COLEGIUL ECONOMIC MARIA TEIULEANU PITESTI,425,243,504,F,2016-08-11
COLEGIUL ECONOMIC MIHAIL KOGALNICEANU FOCSANI,527,683,357,M,2020-05-08
COLEGIUL ECONOMIC MUN. RM. VALCEA,358,0,350,F,2015-03-01
COLEGIUL ECONOMIC MUNICIPIUL BUZAU,64,377,463,M,2020-08-02
COLEGIUL ECONOMIC NICOLAE TITULESCU BAIA MARE,335,30,402,F,2015-05-14
COLEGIUL ECONOMIC OCTAV ONICESCU BOTOSANI,573,679,109,M,2011-11-11
COLEGIUL ECONOMIC PARTENIE COSMA ORADEA,297,743,632,F,2018-03-10
COLEGIUL ECONOMIC PINTEA VITEAZUL CAVNIC,224,496,670,M,2012-06-30
COLEGIUL ECONOMIC TRANSILVANIA TIRGU MURES,185,503,102,M,2013-03-04
Colegiul Economic V. Madgearu,601,685,646,M,2014-08-26
Colegiul Economic Viilor,470,300,645,F,2013-06-22
COLEGIUL ECONOMIC VIRGIL MADGEARU LOCALITATEA GALATI,539,127,628,F,2016-09-20
COLEGIUL ECONOMIC VIRGIL MADGEARU MUNICIPIUL PLOIESTI,433,690,444,M,2016-03-27
COLEGIUL ECONOMIC VIRGIL MADGEARU TG-JIU,428,583,345,M,2017-05-07
COLEGIUL EMIL NEGRUTIU TURDA,628,595,260,M,2020-04-30
COLEGIUL ENERGETIC MUN. RM. VALCEA,202,519,65,M,2018-10-09
COLEGIUL FERDINAND I COMUNA MANECIU,430,549,357,M,2014-09-12
Colegiul German Goethe,727,692,481,M,2012-08-03
COLEGIUL GHEORGHE TATARESCU ROVINARI,180,345,446,M,2020-12-14
COLEGIUL ION KALINDERU ORASUL BUSTENI,337,527,579,M,2016-02-27
COLEGIUL MIHAI EMINESCU BACAU,122,708,8,M,2019-08-10
COLEGIUL MIHAI VITEAZUL BUMBESTI-JIU,651,231,678,M,2019-04-21
COLEGIUL MIHAI VITEAZUL INEU,142,223,281,M,2019-01-15
COLEGIUL MIHAIL CANTACUZINO ORASUL SINAIA,32,316,668,F,2014-11-03
COLEGIUL NATIONAL AL. I. CUZA FOCSANI,151,467,330,F,2017-05-04
COLEGIUL NATIONAL ALEXANDRU IOAN CUZA LOCALITATEA GALATI,151,694,37,F,2021-01-22
COLEGIUL NATIONAL ALEXANDRU LAHOVARI MUN. RM. VALCEA,330,336,688,M,2012-09-09
COLEGIUL NATIONAL A.T.LAURIAN BOTOSANI,477,185,197,M,2011-12-07
COLEGIUL NATIONAL BARBU STIRBEI CALARASI,731,13,664,M,2016-02-05
COLEGIUL NATIONAL BETHLEN GABOR AIUD,450,647,44,M,2013-11-08
COLEGIUL NATIONAL CALISTRAT HOGAS LOCALITATEA TECUCI,532,488,740,M,2018-04-28
COLEGIUL NATIONAL CAROL I CRAIOVA,320,409,309,F,2017-07-03
COLEGIUL NATIONAL COSTACHE NEGRI LOCALITATEA GALATI,270,413,633,F,2019-11-06
COLEGIUL NATIONAL DE AGRICULTURA SI ECONOMIE LOCALITATEA TECUCI,488,38,362,M,2013-10-25
COLEGIUL NATIONAL DE INFORMATICA MATEI BASARAB MUN. RM. VALCEA,256,652,377,F,2019-10-04
COLEGIUL NATIONAL DRAGOS VODA SIGHETU MARMATIEI,623,196,292,M,2011-09-12
COLEGIUL NATIONAL ECATERINA TEODOROIU TG-JIU,392,682,188,M,2020-06-23
COLEGIUL NATIONAL ELENA CUZA CRAIOVA,710,527,262,F,2018-04-07
COLEGIUL NATIONAL EMIL BOTTA ADJUD,111,698,42,F,2018-06-08
COLEGIUL NATIONAL FRATII BUZESTI CRAIOVA,180,634,317,M,2019-04-29
COLEGIUL NATIONAL GEORGE COSBUC MOTRU,667,351,46,F,2014-08-26
COLEGIUL NATIONAL GHEORGHE SINCAI BAIA MARE,409,313,628,F,2011-12-01
COLEGIUL NATIONAL GIB MIHAESCU DRAGASANI,255,514,162,F,2017-09-14
COLEGIUL NATIONAL GRIGORE GHICA DOROHOI,276,302,231,M,2016-09-28
COLEGIUL NATIONAL HOREA CLOSCA SI CRISAN ALBA IULIA,183,297,470,M,2014-01-01
COLEGIUL NATIONAL INOCHENTIE MICU CLAIN BLAJ,598,229,425,F,2019-10-09
COLEGIUL NATIONAL KOLCSEY FERENC SATU MARE,617,669,249,M,2015-08-24
COLEGIUL NATIONAL LUCIAN BLAGA SEBES,82,644,312,F,2011-08-19
COLEGIUL NATIONAL MIHAI EMINESCU BAIA MARE,247,642,511,M,2020-01-06
COLEGIUL NATIONAL MIHAI EMINESCU BOTOSANI,393,616,248,M,2013-11-24
COLEGIUL NATIONAL MIHAIL KOGALNICEANU LOCALITATEA GALATI,342,583,79,M,2019-11-22
COLEGIUL NATIONAL MILITAR MIHAI VITEAZUL ALBA IULIA,719,660,88,M,2021-04-18
COLEGIUL NATIONAL MILITAR TUDOR VLADIMIRESCU CRAIOVA,734,459,654,F,2019-04-25
COLEGIUL NATIONAL MIRCEA CEL BATRAN MUN. RM. VALCEA,337,701,573,F,2014-11-26
COLEGIUL NATIONAL NEAGOE BASARAB OLTENITA,677,460,273,M,2020-01-12
COLEGIUL NATIONAL NICOLAE TITULESCU CRAIOVA,113,85,330,F,2017-01-05
COLEGIUL NATIONAL PEDAGOGIC REGELE FERDINAND SIGHETU MARMATIEI,91,14,90,F,2018-01-08
COLEGIUL NATIONAL PEDAGOGIC REGINA MARIA MUNICIPIUL PLOIESTI,175,92,209,F,2014-11-23
COLEGIUL NATIONAL PEDAGOGIC SPIRU HARET FOCSANI,739,509,535,F,2017-03-04
COLEGIUL NATIONAL PEDAGOGIC STEFAN VELOVAN CRAIOVA,665,500,359,M,2019-09-10
COLEGIUL NATIONAL SPIRU HARET LOCALITATEA TECUCI,697,88,132,F,2018-01-24
COLEGIUL NATIONAL SPIRU HARET TG-JIU,255,244,311,F,2017-02-14
COLEGIUL NATIONAL TITU MAIORESCU AIUD,229,431,448,M,2019-02-13
COLEGIUL NATIONAL TUDOR ARGHEZI TG-CARBUNESTI,653,649,455,M,2016-09-29
COLEGIUL NATIONAL TUDOR VLADIMIRESCU TG-JIU,517,98,98,M,2016-04-26
COLEGIUL NATIONAL UNIREA FOCSANI,58,408,591,M,2013-12-07
COLEGIUL NATIONAL VASILE ALECSANDRI LOCALITATEA GALATI,620,198,524,M,2011-09-07
COLEGIUL NATIONAL VASILE LUCACIU BAIA MARE,55,81,84,F,2013-07-18
COLEGIUL NATIONAL ALEXANDRU IOAN CUZA ALEXANDRIA,439,20,434,F,2012-08-12
COLEGIUL NATIONAL ALEXANDRU IOAN CUZA MUNICIPIUL PLOIESTI,281,497,639,M,2012-08-02
COLEGIUL NATIONAL ALEXANDRU ODOBESCU PITESTI,267,437,704,F,2017-02-10
COLEGIUL NATIONAL ALEXANDRU PAPIU ILARIAN TIRGU MURES,599,733,260,M,2017-05-29
COLEGIUL NATIONAL ALEXANDRU VLAHUTA MUNICIPIUL RAMNICU SARAT,351,82,637,M,2016-09-21
COLEGIUL NATIONAL ANA ASLAN,210,649,635,M,2013-09-05
COLEGIUL NATIONAL ANA ASLAN TIMISOARA,649,481,367,F,2019-10-30
COLEGIUL NATIONAL ANASTASESCU ROSIORI DE VEDE,471,546,436,F,2012-05-16
COLEGIUL NATIONAL ANDREI MURESANU BISTRITA,574,695,644,M,2016-04-08
COLEGIUL NATIONAL ANDREI MURESANU DEJ,44,2,279,F,2015-04-09
Colegiul National 'Andrei Saguna' Brasov,173,747,407,F,2016-05-10
Colegiul National 'Aprily Lajos' Brasov,22,547,699,M,2016-01-09
Colegiul National Aurel Vlaicu,110,272,407,F,2013-12-01
COLEGIUL NATIONAL AVRAM IANCU CAMPENI,238,459,73,F,2015-08-10
COLEGIUL NATIONAL AVRAM IANCU STEI,126,704,576,F,2015-07-30
COLEGIUL NATIONAL B. P. HASDEU MUNICIPIUL BUZAU,1,722,646,F,2013-01-26
COLEGIUL NATIONAL BANATEAN TIMISOARA,131,338,719,M,2017-07-10
Colegiul National Bilingv George Cosbuc,137,408,157,M,2015-10-13
COLEGIUL NATIONAL CALISTRAT HOGAS MUNICIPIUL PIATRA-NEAMT,448,276,374,M,2013-05-12
Colegiul National Cantemir Voda,315,133,519,F,2018-09-28
COLEGIUL NATIONAL CATOLIC SF.IOSIF BACAU,711,520,257,M,2018-01-15
COLEGIUL NATIONAL C.D. LOGA CARANSEBES,686,41,300,F,2015-02-02
COLEGIUL NATIONAL CONSTANTIN CANTACUZINO TARGOVISTE,673,21,229,F,2019-08-10
COLEGIUL NATIONAL CONSTANTIN CARABELLA TARGOVISTE,315,56,469,F,2014-01-30
COLEGIUL NATIONAL CONSTANTIN DIACONOVICI LOGA TIMISOARA,625,139,320,F,2015-07-19
COLEGIUL NATIONAL COSTACHE NEGRI TARGU OCNA,284,131,466,F,2015-08-26
COLEGIUL NATIONAL COSTACHE NEGRUZZI IASI,397,650,603,M,2016-06-11
COLEGIUL NATIONAL CUZA VODA MUN. HUSI,719,245,140,F,2011-10-31
COLEGIUL NATIONAL DE ARTA GEORGE APOSTU BACAU,149,204,195,F,2013-12-05
COLEGIUL NATIONAL DE ARTA OCTAV BANCILA IASI,685,82,738,F,2019-03-23
Colegiul National de Arte Dinu Lipatti,400,399,646,F,2011-10-14
COLEGIUL NATIONAL DE ARTE 'REGINA MARIA' CONSTANTA,192,47,526,M,2020-11-26
COLEGIUL NATIONAL DE INFORMATICA CARMEN SYLVA PETROSANI,516,470,665,M,2015-01-01
Colegiul National de Informatica 'Gr. Moisil' Brasov,650,250,574,F,2020-11-22
COLEGIUL NATIONAL DE INFORMATICA MUNICIPIUL PIATRA-NEAMT,574,699,677,F,2012-11-19
COLEGIUL NATIONAL DE INFORMATICA SPIRU HARET SUCEAVA,662,247,349,F,2015-08-02
Colegiul National de Informatica Tudor Vianu,108,345,7,M,2014-02-17
Colegiul National de Muzica George Enescu,354,152,558,M,2014-07-10
COLEGIUL NATIONAL DECEBAL DEVA,221,339,219,F,2018-04-12
COLEGIUL NATIONAL DIACONOVICI TIETZ RESITA,92,197,173,F,2017-04-21
COLEGIUL NATIONAL DIMITRIE CANTEMIR ONESTI,68,327,669,M,2012-12-31
COLEGIUL NATIONAL DINICU GOLESCU CAMPULUNG,256,25,42,M,2012-07-27
Colegiul National 'Doamna Stanca' Fagaras,573,536,376,M,2014-12-06
COLEGIUL NATIONAL DOAMNA STANCA SATU MARE,174,317,730,M,2018-11-11
Colegiul National 'Dr. Ioan Mesota' Brasov,503,33,76,M,2012-07-27
COLEGIUL NATIONAL DRAGOS VODA CAMPULUNG MOLDOVENESC,588,312,436,M,2012-03-11
Colegiul National Economic 'Andrei Barseanu' Brasov,669,635,121,M,2019-05-09
COLEGIUL NATIONAL ECONOMIC THEODOR COSTESCU,560,389,345,F,2021-06-23
Colegiul National Elena Cuza,397,300,25,M,2014-04-18
COLEGIUL NATIONAL ELENA GHIBA BIRTA ARAD,499,79,550,F,2017-02-07
COLEGIUL NATIONAL EMANUIL GOJDU ORADEA,432,333,340,M,2014-08-19
Colegiul National Emil Racovita,349,562,295,F,2016-03-14
COLEGIUL NATIONAL EMIL RACOVITA CLUJ-NAPOCA,77,109,680,M,2018-11-26
COLEGIUL NATIONAL EMIL RACOVITA IASI,690,484,718,F,2016-04-20
COLEGIUL NATIONAL EUDOXIU HURMUZACHI RADAUTI,584,103,426,F,2019-06-20
COLEGIUL NATIONAL FERDINAND I BACAU,202,385,689,F,2016-09-17
COLEGIUL NATIONAL GARABET IBRAILEANU IASI,361,78,553,M,2021-06-03
COLEGIUL NATIONAL GEORGE BARITIU CLUJ-NAPOCA,390,71,361,F,2021-07-16
COLEGIUL NATIONAL GEORGE COSBUC CLUJ-NAPOCA,541,665,194,M,2016-03-12
COLEGIUL NATIONAL GEORGE COSBUC NASAUD,588,685,122,M,2019-06-12
COLEGIUL NATIONAL GH. ROSCA CODREANU MUN. BARLAD,254,554,134,M,2012-05-26
COLEGIUL NATIONAL GHEORGHE ASACHI MUNICIPIUL PIATRA-NEAMT,518,106,267,F,2013-07-29
Colegiul National Gheorghe Lazar,689,162,733,M,2012-04-20
COLEGIUL NATIONAL GHEORGHE LAZAR SIBIU,265,10,480,F,2012-04-25
COLEGIUL NATIONAL GHEORGHE MUNTEANU MURGOCI,620,501,305,M,2017-07-25
Colegiul National Gheorghe Sincai,202,198,247,M,2015-01-23
COLEGIUL NATIONAL GHEORGHE SINCAI CLUJ-NAPOCA,312,462,443,M,2012-05-16
COLEGIUL NATIONAL GHEORGHE TITEICA,551,92,748,F,2017-05-04
COLEGIUL NATIONAL GHEORGHE VRANCEANU BACAU,34,741,261,M,2011-12-07
Colegiul National Grigore Moisil,553,178,495,F,2014-10-29
COLEGIUL NATIONAL GRIGORE MOISIL ONESTI,48,402,70,F,2016-05-06
COLEGIUL NATIONAL IANCU DE HUNEDOARA HUNEDOARA,63,728,646,M,2012-01-05
COLEGIUL NATIONAL IASI,179,748,413,F,2017-07-14
