School_Unit_Name,Elementary_school_cases,Middle_school_cases,High_school_cases,Gender,Reporting_date
CENTRUL JUDETEAN DE EXCELENTA TELEORMAN,46,26,32,F,2012-05-08
CENTRUL JUDETEAN DE EXCELENTA TIMIS,51,17,26,M,2012-01-28
CENTRUL JUDETEAN DE EXCELENTA TULCEA,14,9,41,M,2015-07-08
CENTRUL JUDETEAN DE EXCELENTA VASLUI,21,37,51,F,2014-12-16
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA TULCEA,3,11,40,F,2019-04-18
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA ARGES,30,26,6,M,2011-08-29
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA BACAU,12,12,2,F,2014-11-05
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA BISTRITA-NASAUD,39,30,14,F,2015-05-25
Centrul Judetean de Resurse si Asistenta Educationala Brasov,35,14,29,F,2018-04-29
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA CONSTANTA,51,28,41,F,2011-10-24
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA GIURGIU,2,54,37,M,2020-06-07
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA IASI,39,11,1,M,2012-08-12
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MUNICIPIUL BUZAU,6,26,15,M,2021-05-01
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA NEAMT,2,54,48,F,2012-02-29
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA PRAHOVA,54,9,48,M,2018-03-29
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA SATU MARE,16,21,18,F,2014-04-07
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA SIBIU,17,5,33,F,2019-05-04
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA SUCEAVA,4,33,15,M,2020-10-29
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA TELEORMAN,18,36,24,M,2021-03-24
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA TIMIS,4,12,22,F,2016-09-01
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA VASLUI,34,31,30,F,2019-04-22
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA ARAD,0,17,7,F,2021-04-23
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA BRAILA,23,3,41,M,2016-11-19
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA CARAS-SEVERIN,13,29,21,M,2020-02-09
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA CLUJ,16,53,29,M,2013-01-18
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA DAMBOVITA,41,4,54,M,2013-12-18
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA OLT,18,52,11,F,2020-07-07
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA SALAJ,22,6,39,M,2020-06-04
CENTRUL LOGOPEDIC,48,38,55,F,2018-08-16
CENTRUL LOGOPEDIC BACAU,48,26,47,F,2015-01-31
CENTRUL LOGOPEDIC GALATI,51,43,19,M,2015-11-19
CENTRUL LOGOPEDIC IASI,33,36,44,F,2013-06-12
CENTRUL LOGOPEDIC INTERSCOLAR SUCEAVA,19,25,33,M,2020-08-10
CENTRUL LOGOPEDIC INTERSCOLAR MUNICIPIUL BUZAU,54,7,15,M,2015-06-17
CENTRUL LOGOPEDIC INTERSCOLAR MUNICIPIUL RAMNICU SARAT,9,12,7,F,2017-03-13
CENTRUL LOGOPEDIC INTERSCOLAR RESITA,23,20,8,F,2015-08-22
CENTRUL LOGOPEDIC SATU MARE,50,24,35,M,2015-04-17
Centrul Municipiului Bucuresti de Excelenta,28,50,40,F,2013-10-29
Centrul Municipiului Bucuresti de resurse si asistenta educationala,24,15,37,M,2013-03-04
Centrul National de Politici si Evaluare in Educatie,37,50,48,F,2012-06-05
Centrul pilot de pedagogie curativa si terapie sociala Corabia,38,26,18,M,2012-12-15
COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU,0,13,16,M,2020-01-26
COLEGIUL AGRICOL DIMITRIE CANTEMIR MUN. HUSI,55,50,12,F,2011-08-04
COLEGIUL AGRICOL SI DE INDUSTRIE ALIMENTARA VASILE ADAMACHI IASI,42,54,36,F,2015-02-23
COLEGIUL AGRICOL TRAIAN SAVULESCU TIRGU MURES,28,29,26,M,2018-02-20
COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI,55,36,35,M,2017-07-22
COLEGIUL ANDRONIC MOTRESCU RADAUTI,3,7,10,F,2020-02-01
Colegiul 'Aurel Vijoli' Fagaras,0,26,9,F,2018-12-30
COLEGIUL AUTO TRAIAN VUIA TG-JIU,44,46,9,M,2019-03-19
COLEGIUL COMERCIAL 'CAROL I' CONSTANTA,17,34,9,M,2021-01-28
COLEGIUL DANUBIUS MUNICIPIUL GALATI,26,54,5,F,2014-08-14
COLEGIUL DE ARTA CARMEN SYLVA MUNICIPIUL PLOIESTI,55,32,11,M,2020-12-19
COLEGIUL DE ARTA CIPRIAN PORUMBESCU SUCEAVA,8,50,37,M,2017-04-21
COLEGIUL DE ARTE BAIA MARE,37,10,15,F,2019-08-13
COLEGIUL DE ARTE SABIN DRAGOI ARAD,14,5,32,M,2014-10-05
COLEGIUL DE INDUSTRIE ALIMENTARA ELENA DOAMNA LOCALITATEA GALATI,26,38,25,M,2015-11-04
COLEGIUL DE INVATAMANT TERTIAR NONUNIVERSITAR USAMVBT TIMISOARA,9,45,0,M,2017-07-18
COLEGIUL DE MUZICA SIGISMUND TODUTA CLUJ-NAPOCA,20,33,42,F,2020-06-28
COLEGIUL DE SERVICII IN TURISM NAPOCA CLUJ-NAPOCA,55,50,51,M,2018-07-06
Colegiul de Stiinte ale Naturii 'Emil Racovita' Brasov,45,53,12,M,2013-03-18
Colegiul de Stiinte 'Grigore Antipa' Brasov,16,7,45,M,2018-07-17
COLEGIUL DOBROGEAN SPIRU HARET TULCEA,49,11,53,M,2018-04-25
COLEGIUL ECOLOGIC PROF.UNIV.DR. ALEXANDRU IONESCU PITESTI,54,1,27,M,2016-07-19
COLEGIUL ECONOMIC ADMINISTRATIV IASI,28,21,41,M,2015-11-10
Colegiul Economic A.D.Xenopol,31,19,16,M,2020-02-29
COLEGIUL ECONOMIC AL BANATULUI MONTAN RESITA,26,10,2,M,2014-01-27
COLEGIUL ECONOMIC ANGHEL RUGINA MUN. VASLUI,51,44,29,M,2014-05-20
COLEGIUL ECONOMIC ARAD,3,52,49,M,2016-01-31
COLEGIUL ECONOMIC CALARASI,17,33,5,M,2021-02-16
Colegiul Economic Costin C. Kiritescu,22,52,37,F,2013-06-15
COLEGIUL ECONOMIC DELTA DUNARII TULCEA,17,43,46,F,2013-12-05
COLEGIUL ECONOMIC DIMITRIE CANTEMIR SUCEAVA,2,5,2,F,2020-09-21
COLEGIUL ECONOMIC DIONISIE POP MARTIAN ALBA IULIA,31,41,13,F,2018-01-10
COLEGIUL ECONOMIC EMANUIL GOJDU HUNEDOARA,3,1,26,F,2012-02-19
COLEGIUL ECONOMIC FRANCESCO SAVERIO NITTI TIMISOARA,3,30,27,F,2018-09-21
COLEGIUL ECONOMIC GEORGE BARITIU SIBIU,17,12,42,M,2017-12-22
COLEGIUL ECONOMIC GHEORGHE CHITU CRAIOVA,23,21,23,M,2019-06-01
COLEGIUL ECONOMIC GHEORGHE DRAGOS SATU MARE,17,12,29,F,2014-06-04
Colegiul Economic Hermes,10,52,31,F,2016-04-11
COLEGIUL ECONOMIC HERMES PETROSANI,9,31,43,M,2014-05-15
COLEGIUL ECONOMIC ION GHICA,10,37,18,M,2018-04-09
COLEGIUL ECONOMIC ION GHICA BACAU,23,49,32,F,2013-10-16
COLEGIUL ECONOMIC ION GHICA TARGOVISTE,27,32,47,F,2015-11-30
COLEGIUL ECONOMIC IULIAN POP CLUJ-NAPOCA,55,24,12,M,2016-08-09
COLEGIUL ECONOMIC MANGALIA,1,28,3,M,2015-06-21
COLEGIUL ECONOMIC MARIA TEIULEANU PITESTI,51,34,7,M,2016-08-10
COLEGIUL ECONOMIC MIHAIL KOGALNICEANU FOCSANI,48,12,27,F,2020-05-07
COLEGIUL ECONOMIC MUN. RM. VALCEA,36,45,50,M,2015-02-28
COLEGIUL ECONOMIC MUNICIPIUL BUZAU,29,44,34,F,2020-08-01
COLEGIUL ECONOMIC NICOLAE TITULESCU BAIA MARE,53,20,37,M,2015-05-13
COLEGIUL ECONOMIC OCTAV ONICESCU BOTOSANI,36,5,27,F,2011-11-10
COLEGIUL ECONOMIC PARTENIE COSMA ORADEA,34,44,55,M,2018-03-09
COLEGIUL ECONOMIC PINTEA VITEAZUL CAVNIC,13,1,11,F,2012-06-29
COLEGIUL ECONOMIC TRANSILVANIA TIRGU MURES,19,35,48,F,2013-03-03
Colegiul Economic V. Madgearu,41,17,34,F,2014-08-25
Colegiul Economic Viilor,41,51,29,M,2013-06-21
COLEGIUL ECONOMIC VIRGIL MADGEARU LOCALITATEA GALATI,50,41,35,M,2016-09-19
COLEGIUL ECONOMIC VIRGIL MADGEARU MUNICIPIUL PLOIESTI,30,44,8,F,2016-03-26
COLEGIUL ECONOMIC VIRGIL MADGEARU TG-JIU,11,25,15,F,2017-05-06
COLEGIUL EMIL NEGRUTIU TURDA,51,32,35,F,2020-04-29
COLEGIUL ENERGETIC MUN. RM. VALCEA,1,36,31,F,2018-10-08
COLEGIUL FERDINAND I COMUNA MANECIU,8,46,8,F,2014-09-11
Colegiul German Goethe,34,33,32,F,2012-08-02
COLEGIUL GHEORGHE TATARESCU ROVINARI,13,37,7,F,2020-12-13
COLEGIUL ION KALINDERU ORASUL BUSTENI,12,27,46,F,2016-02-26
COLEGIUL MIHAI EMINESCU BACAU,48,30,12,F,2019-08-09
COLEGIUL MIHAI VITEAZUL BUMBESTI-JIU,26,44,4,F,2019-04-20
COLEGIUL MIHAI VITEAZUL INEU,51,51,25,F,2019-01-14
COLEGIUL MIHAIL CANTACUZINO ORASUL SINAIA,55,44,18,M,2014-11-02
COLEGIUL NATIONAL AL. I. CUZA FOCSANI,35,30,30,M,2017-05-03
COLEGIUL NATIONAL ALEXANDRU IOAN CUZA LOCALITATEA GALATI,39,13,36,M,2021-01-21
COLEGIUL NATIONAL ALEXANDRU LAHOVARI MUN. RM. VALCEA,44,54,34,F,2012-09-08
COLEGIUL NATIONAL A.T.LAURIAN BOTOSANI,15,40,54,F,2011-12-06
COLEGIUL NATIONAL BARBU STIRBEI CALARASI,41,28,42,F,2016-02-04
COLEGIUL NATIONAL BETHLEN GABOR AIUD,12,17,44,F,2013-11-07
COLEGIUL NATIONAL CALISTRAT HOGAS LOCALITATEA TECUCI,39,15,18,F,2018-04-27
COLEGIUL NATIONAL CAROL I CRAIOVA,51,34,9,M,2017-07-02
COLEGIUL NATIONAL COSTACHE NEGRI LOCALITATEA GALATI,1,45,0,M,2019-11-05
COLEGIUL NATIONAL DE AGRICULTURA SI ECONOMIE LOCALITATEA TECUCI,21,38,5,F,2013-10-24
COLEGIUL NATIONAL DE INFORMATICA MATEI BASARAB MUN. RM. VALCEA,38,40,25,M,2019-10-03
COLEGIUL NATIONAL DRAGOS VODA SIGHETU MARMATIEI,14,28,0,F,2011-09-11
COLEGIUL NATIONAL ECATERINA TEODOROIU TG-JIU,47,13,47,F,2020-06-22
COLEGIUL NATIONAL ELENA CUZA CRAIOVA,45,1,33,M,2018-04-06
COLEGIUL NATIONAL EMIL BOTTA ADJUD,10,18,21,M,2018-06-07
COLEGIUL NATIONAL FRATII BUZESTI CRAIOVA,47,35,20,F,2019-04-28
COLEGIUL NATIONAL GEORGE COSBUC MOTRU,27,17,5,M,2014-08-25
COLEGIUL NATIONAL GHEORGHE SINCAI BAIA MARE,10,7,31,M,2011-11-30
COLEGIUL NATIONAL GIB MIHAESCU DRAGASANI,31,37,52,M,2017-09-13
COLEGIUL NATIONAL GRIGORE GHICA DOROHOI,11,11,28,F,2016-09-27
COLEGIUL NATIONAL HOREA CLOSCA SI CRISAN ALBA IULIA,52,1,15,F,2013-12-31
COLEGIUL NATIONAL INOCHENTIE MICU CLAIN BLAJ,42,33,12,M,2019-10-08
COLEGIUL NATIONAL KOLCSEY FERENC SATU MARE,22,1,16,F,2015-08-23
COLEGIUL NATIONAL LUCIAN BLAGA SEBES,0,11,16,M,2011-08-18
COLEGIUL NATIONAL MIHAI EMINESCU BAIA MARE,43,39,23,F,2020-01-05
COLEGIUL NATIONAL MIHAI EMINESCU BOTOSANI,54,43,27,F,2013-11-23
COLEGIUL NATIONAL MIHAIL KOGALNICEANU LOCALITATEA GALATI,38,7,23,F,2019-11-21
COLEGIUL NATIONAL MILITAR MIHAI VITEAZUL ALBA IULIA,16,33,10,F,2021-04-17
COLEGIUL NATIONAL MILITAR TUDOR VLADIMIRESCU CRAIOVA,55,35,9,M,2019-04-24
COLEGIUL NATIONAL MIRCEA CEL BATRAN MUN. RM. VALCEA,49,25,46,M,2014-11-25
COLEGIUL NATIONAL NEAGOE BASARAB OLTENITA,55,14,43,F,2020-01-11
COLEGIUL NATIONAL NICOLAE TITULESCU CRAIOVA,21,1,1,M,2017-01-04
COLEGIUL NATIONAL PEDAGOGIC REGELE FERDINAND SIGHETU MARMATIEI,17,27,25,M,2018-01-07
COLEGIUL NATIONAL PEDAGOGIC REGINA MARIA MUNICIPIUL PLOIESTI,37,33,47,M,2014-11-22
COLEGIUL NATIONAL PEDAGOGIC SPIRU HARET FOCSANI,18,22,8,M,2017-03-03
COLEGIUL NATIONAL PEDAGOGIC STEFAN VELOVAN CRAIOVA,26,32,41,F,2019-09-09
COLEGIUL NATIONAL SPIRU HARET LOCALITATEA TECUCI,27,45,53,M,2018-01-23
COLEGIUL NATIONAL SPIRU HARET TG-JIU,6,41,6,M,2017-02-13
COLEGIUL NATIONAL TITU MAIORESCU AIUD,19,31,51,F,2019-02-12
COLEGIUL NATIONAL TUDOR ARGHEZI TG-CARBUNESTI,0,27,52,F,2016-09-28
COLEGIUL NATIONAL TUDOR VLADIMIRESCU TG-JIU,31,41,22,F,2016-04-25
COLEGIUL NATIONAL UNIREA FOCSANI,50,28,40,F,2013-12-06
COLEGIUL NATIONAL VASILE ALECSANDRI LOCALITATEA GALATI,26,48,55,F,2011-09-06
COLEGIUL NATIONAL VASILE LUCACIU BAIA MARE,39,40,16,M,2013-07-17
COLEGIUL NATIONAL ALEXANDRU IOAN CUZA ALEXANDRIA,7,37,6,M,2012-08-11
COLEGIUL NATIONAL ALEXANDRU IOAN CUZA MUNICIPIUL PLOIESTI,7,37,15,F,2012-08-01
COLEGIUL NATIONAL ALEXANDRU ODOBESCU PITESTI,11,34,27,M,2017-02-09
COLEGIUL NATIONAL ALEXANDRU PAPIU ILARIAN TIRGU MURES,28,22,55,F,2017-05-28
COLEGIUL NATIONAL ALEXANDRU VLAHUTA MUNICIPIUL RAMNICU SARAT,27,9,26,F,2016-09-20
COLEGIUL NATIONAL ANA ASLAN,38,17,28,F,2013-09-04
COLEGIUL NATIONAL ANA ASLAN TIMISOARA,42,35,50,M,2019-10-29
COLEGIUL NATIONAL ANASTASESCU ROSIORI DE VEDE,3,48,44,M,2012-05-15
COLEGIUL NATIONAL ANDREI MURESANU BISTRITA,20,53,9,F,2016-04-07
COLEGIUL NATIONAL ANDREI MURESANU DEJ,53,48,40,M,2015-04-08
Colegiul National 'Andrei Saguna' Brasov,34,28,3,M,2016-05-09
Colegiul National 'Aprily Lajos' Brasov,49,11,15,F,2016-01-08
Colegiul National Aurel Vlaicu,0,28,51,M,2013-11-30
COLEGIUL NATIONAL AVRAM IANCU CAMPENI,49,12,28,M,2015-08-09
COLEGIUL NATIONAL AVRAM IANCU STEI,35,18,20,M,2015-07-29
COLEGIUL NATIONAL B. P. HASDEU MUNICIPIUL BUZAU,20,27,36,M,2013-01-25
COLEGIUL NATIONAL BANATEAN TIMISOARA,20,6,5,F,2017-07-09
Colegiul National Bilingv George Cosbuc,54,38,11,F,2015-10-12
COLEGIUL NATIONAL CALISTRAT HOGAS MUNICIPIUL PIATRA-NEAMT,36,47,18,F,2013-05-11
Colegiul National Cantemir Voda,33,35,53,M,2018-09-27
COLEGIUL NATIONAL CATOLIC SF.IOSIF BACAU,5,15,25,F,2018-01-14
COLEGIUL NATIONAL C.D. LOGA CARANSEBES,51,37,20,M,2015-02-01
COLEGIUL NATIONAL CONSTANTIN CANTACUZINO TARGOVISTE,44,35,30,M,2019-08-09
COLEGIUL NATIONAL CONSTANTIN CARABELLA TARGOVISTE,50,1,35,M,2014-01-29
COLEGIUL NATIONAL CONSTANTIN DIACONOVICI LOGA TIMISOARA,29,23,54,M,2015-07-18
COLEGIUL NATIONAL COSTACHE NEGRI TARGU OCNA,9,29,26,M,2015-08-25
COLEGIUL NATIONAL COSTACHE NEGRUZZI IASI,19,51,55,F,2016-06-10
COLEGIUL NATIONAL CUZA VODA MUN. HUSI,6,11,9,M,2011-10-30
COLEGIUL NATIONAL DE ARTA GEORGE APOSTU BACAU,2,44,42,M,2013-12-04
COLEGIUL NATIONAL DE ARTA OCTAV BANCILA IASI,41,6,5,M,2019-03-22
Colegiul National de Arte Dinu Lipatti,33,19,43,M,2011-10-13
COLEGIUL NATIONAL DE ARTE 'REGINA MARIA' CONSTANTA,8,54,4,F,2020-11-25
COLEGIUL NATIONAL DE INFORMATICA CARMEN SYLVA PETROSANI,53,28,36,F,2014-12-31
Colegiul National de Informatica 'Gr. Moisil' Brasov,23,14,48,M,2020-11-21
COLEGIUL NATIONAL DE INFORMATICA MUNICIPIUL PIATRA-NEAMT,43,16,55,M,2012-11-18
COLEGIUL NATIONAL DE INFORMATICA SPIRU HARET SUCEAVA,17,21,29,M,2015-08-01
Colegiul National de Informatica Tudor Vianu,38,43,39,F,2014-02-16
Colegiul National de Muzica George Enescu,50,10,47,F,2014-07-09
COLEGIUL NATIONAL DECEBAL DEVA,24,4,22,M,2018-04-11
COLEGIUL NATIONAL DIACONOVICI TIETZ RESITA,19,28,45,M,2017-04-20
COLEGIUL NATIONAL DIMITRIE CANTEMIR ONESTI,5,33,18,F,2012-12-30
COLEGIUL NATIONAL DINICU GOLESCU CAMPULUNG,45,20,46,F,2012-07-26
Colegiul National 'Doamna Stanca' Fagaras,44,13,18,F,2014-12-05
COLEGIUL NATIONAL DOAMNA STANCA SATU MARE,1,45,8,F,2018-11-10
Colegiul National 'Dr. Ioan Mesota' Brasov,49,50,23,F,2012-07-26
COLEGIUL NATIONAL DRAGOS VODA CAMPULUNG MOLDOVENESC,54,17,53,F,2012-03-10
Colegiul National Economic 'Andrei Barseanu' Brasov,13,25,27,F,2019-05-08
COLEGIUL NATIONAL ECONOMIC THEODOR COSTESCU,41,7,39,M,2021-06-22
Colegiul National Elena Cuza,48,7,20,F,2014-04-17
COLEGIUL NATIONAL ELENA GHIBA BIRTA ARAD,21,32,50,M,2017-02-06
COLEGIUL NATIONAL EMANUIL GOJDU ORADEA,32,2,22,F,2014-08-18
Colegiul National Emil Racovita,40,51,20,M,2016-03-13
COLEGIUL NATIONAL EMIL RACOVITA CLUJ-NAPOCA,5,53,34,F,2018-11-25
COLEGIUL NATIONAL EMIL RACOVITA IASI,27,40,36,M,2016-04-19
COLEGIUL NATIONAL EUDOXIU HURMUZACHI RADAUTI,33,54,43,M,2019-06-19
COLEGIUL NATIONAL FERDINAND I BACAU,16,45,41,M,2016-09-16
COLEGIUL NATIONAL GARABET IBRAILEANU IASI,20,25,19,F,2021-06-02
COLEGIUL NATIONAL GEORGE BARITIU CLUJ-NAPOCA,39,51,49,M,2021-07-15
COLEGIUL NATIONAL GEORGE COSBUC CLUJ-NAPOCA,9,0,4,F,2016-03-11
COLEGIUL NATIONAL GEORGE COSBUC NASAUD,11,47,42,F,2019-06-11
COLEGIUL NATIONAL GH. ROSCA CODREANU MUN. BARLAD,29,9,3,F,2012-05-25
COLEGIUL NATIONAL GHEORGHE ASACHI MUNICIPIUL PIATRA-NEAMT,0,9,50,M,2013-07-28
Colegiul National Gheorghe Lazar,3,45,53,F,2012-04-19
COLEGIUL NATIONAL GHEORGHE LAZAR SIBIU,6,49,25,M,2012-04-24
COLEGIUL NATIONAL GHEORGHE MUNTEANU MURGOCI,9,46,29,F,2017-07-24
Colegiul National Gheorghe Sincai,39,14,47,F,2015-01-22
COLEGIUL NATIONAL GHEORGHE SINCAI CLUJ-NAPOCA,10,10,43,F,2012-05-15
COLEGIUL NATIONAL GHEORGHE TITEICA,55,44,46,M,2017-05-03
COLEGIUL NATIONAL GHEORGHE VRANCEANU BACAU,52,14,23,F,2011-12-06
Colegiul National Grigore Moisil,54,14,44,M,2014-10-28
COLEGIUL NATIONAL GRIGORE MOISIL ONESTI,4,43,36,M,2016-05-05
COLEGIUL NATIONAL IANCU DE HUNEDOARA HUNEDOARA,43,22,7,F,2012-01-04
COLEGIUL NATIONAL IASI,7,8,50,M,2017-07-13
